epoch,loss,accuracy,f1_macro,f1_fake,f1_real
1,0.7126081947237253,0.6308411214953271,0.6305820940819423,0.6403641881638846,0.6208
2,0.6576962005347013,0.631619937694704,0.6315392572324736,0.6260869565217392,0.6369915579432079
3,0.6345431899651885,0.6417445482866043,0.6417306404495473,0.6394984326018809,0.6439628482972136
4,0.6209452478215098,0.647196261682243,0.6461744819468397,0.6271604938271605,0.6651884700665188
5,0.6073687979951501,0.6456386292834891,0.6454044054050609,0.636290967226219,0.6545178435839029
6,0.585954793356359,0.6277258566978193,0.6276933379920802,0.6311728395061729,0.6242138364779874
7,0.5693624692037702,0.6238317757009346,0.6237110368315063,0.6169706582077716,0.630451415455241
